Browser,Browser Version,Users,Sessions,Pages/Session,Avg. Session Duration,% New Sessions,Bounce Rate
Edge,108.0.3122.326,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3141.802,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.3182.215,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3240.544,1,1,1,00:00:03,100.00%,0.00%
Edge,108.0.3319.602,1,1,1,00:00:03,100.00%,0.00%
Edge,108.0.3347.116,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3373.219,1,1,2,00:01:29,0.00%,0.00%
Edge,108.0.3398.448,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.3456.525,1,1,1,00:00:02,100.00%,0.00%
Edge,108.0.3457.774,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3461.913,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3471.193,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.3486.320,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3496.672,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3655.527,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3738.607,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.3866.362,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3871.971,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.3929.334,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.3963.883,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4002.921,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.4073.511,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4151.746,1,1,2,00:02:25,100.00%,0.00%
Edge,108.0.4155.709,1,1,2,00:01:38,100.00%,0.00%
Edge,108.0.4172.833,1,1,2,00:00:14,100.00%,0.00%
Edge,108.0.4224.973,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4248.398,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4260.226,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4266.955,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4301.491,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4310.838,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.4311.471,1,2,1,00:00:00,0.00%,100.00%
Edge,108.0.4349.135,1,1,2,00:00:54,100.00%,0.00%
Edge,108.0.4369.224,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4388.940,1,1,1,00:00:04,100.00%,0.00%
Edge,108.0.4446.822,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4465.739,1,1,1,00:00:05,100.00%,0.00%
Edge,108.0.4467.743,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.4510.197,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4522.935,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4526.479,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4543.246,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4547.734,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4750.140,1,2,1,00:00:02,50.00%,0.00%
Edge,108.0.4770.252,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4899.778,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.4992.380,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.4998.533,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5029.586,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5040.801,1,3,1,00:00:00,33.33%,100.00%
Edge,108.0.5115.504,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.5119.720,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.5138.805,1,1,1,00:00:03,100.00%,0.00%
Edge,108.0.5155.438,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5284.370,1,1,2,00:00:50,100.00%,0.00%
Edge,108.0.5286.683,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5308.218,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5339.960,1,1,1,00:00:00,0.00%,100.00%
